Detection Time: 2024-11-19 15:06:39, Lat: 26.9150048, Lon: 75.7416909, trackid : 41
Class: 4, Detection Time: 2024-11-16 17:42:07.266667, Lat: 26.9150048, Lon: 75.7416909, trackid : 21
Class: 4, Detection Time: 2024-11-16 17:42:03.533333, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:42:07.300000, Lat: 26.9150048, Lon: 75.7416909, trackid : 11
Class: 4, Detection Time: 2024-11-16 17:42:17.633333, Lat: 26.9150048, Lon: 75.7416909, trackid : 13
Class: 4, Detection Time: 2024-11-16 17:42:07.300000, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:42:17.633333, Lat: 26.9150048, Lon: 75.7416909, trackid : 5
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:52.700000, Lat: 26.9150048, Lon: 75.7416909, trackid : 7
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:52.700000, Lat: 26.9150048, Lon: 75.7416909, trackid : 7
Class: 4, Detection Time: 2024-11-16 17:41:58.800000, Lat: 26.9150048, Lon: 75.7416909, trackid : 13
Class: 2, Detection Time: 2024-11-16 17:41:59.100000, Lat: 26.9150048, Lon: 75.7416909, trackid : 14
Class: 4, Detection Time: 2024-11-16 17:41:59.266667, Lat: 26.9150048, Lon: 75.7416909, trackid : 15
Class: 2, Detection Time: 2024-11-16 17:41:59.800000, Lat: 26.9150048, Lon: 75.7416909, trackid : 20
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:52.700000, Lat: 26.9150048, Lon: 75.7416909, trackid : 7
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:52.700000, Lat: 26.9150048, Lon: 75.7416909, trackid : 7
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 9
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 12
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:51, Lat: 26.9150048, Lon: 75.7416909, trackid : 3
Class: 4, Detection Time: 2024-11-16 17:41:52.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 6
Class: 4, Detection Time: 2024-11-16 17:41:52.700000, Lat: 26.9150048, Lon: 75.7416909, trackid : 7
Class: 4, Detection Time: 2024-11-16 17:41:58.800000, Lat: 26.9150048, Lon: 75.7416909, trackid : 13
Class: 2, Detection Time: 2024-11-16 17:41:59.100000, Lat: 26.9150048, Lon: 75.7416909, trackid : 14
Class: 4, Detection Time: 2024-11-16 17:41:59.266667, Lat: 26.9150048, Lon: 75.7416909, trackid : 15
Class: 2, Detection Time: 2024-11-16 17:41:59.800000, Lat: 26.9150048, Lon: 75.7416909, trackid : 20
Class: 2, Detection Time: 2024-11-16 17:42:02.133333, Lat: 26.9150048, Lon: 75.7416909, trackid : 26
Class: 4, Detection Time: 2024-11-16 17:42:03.466667, Lat: 26.9150048, Lon: 75.7416909, trackid : 29
Class: 4, Detection Time: 2024-11-16 17:42:07.100000, Lat: 26.9150048, Lon: 75.7416909, trackid : 36
Class: 2, Detection Time: 2024-11-16 17:42:10.700000, Lat: 26.9150048, Lon: 75.7416909, trackid : 40
Class: 4, Detection Time: 2024-11-16 17:42:11.266667, Lat: 26.9150048, Lon: 75.7416909, trackid : 44
Class: 2, Detection Time: 2024-11-16 17:42:12.066667, Lat: 26.9150048, Lon: 75.7416909, trackid : 48
Class: 2, Detection Time: 2024-11-16 17:42:13.933333, Lat: 26.9150048, Lon: 75.7416909, trackid : 54
Class: 4, Detection Time: 2024-11-16 17:42:14.100000, Lat: 26.9150048, Lon: 75.7416909, trackid : 55
Class: 2, Detection Time: 2024-11-16 17:42:15.333333, Lat: 26.9150048, Lon: 75.7416909, trackid : 69
Class: 2, Detection Time: 2024-11-16 17:42:15.466667, Lat: 26.9150048, Lon: 75.7416909, trackid : 71
Class: 2, Detection Time: 2024-11-16 17:42:15.566667, Lat: 26.9150048, Lon: 75.7416909, trackid : 73
Class: 2, Detection Time: 2024-11-16 17:42:16.066667, Lat: 26.9150048, Lon: 75.7416909, trackid : 83
Class: 4, Detection Time: 2024-11-16 17:42:17.433333, Lat: 26.9150048, Lon: 75.7416909, trackid : 95
Class: 2, Detection Time: 2024-11-16 17:42:17.566667, Lat: 26.9150048, Lon: 75.7416909, trackid : 97
Class: 2, Detection Time: 2024-11-16 17:42:18.533333, Lat: 26.9150048, Lon: 75.7416909, trackid : 101
Class: 2, Detection Time: 2024-11-16 17:42:19.033333, Lat: 26.9150048, Lon: 75.7416909, trackid : 104
Class: 2, Detection Time: 2024-11-16 17:42:19.533333, Lat: 26.9150048, Lon: 75.7416909, trackid : 107
Class: 4, Detection Time: 2024-11-16 17:42:20.766667, Lat: 26.9150048, Lon: 75.7416909, trackid : 122
Class: 2, Detection Time: 2024-11-16 17:42:23, Lat: 26.9150048, Lon: 75.7416909, trackid : 132
Class: 4, Detection Time: 2024-11-16 17:42:23.400000, Lat: 26.9150048, Lon: 75.7416909, trackid : 137
Class: 2, Detection Time: 2024-11-16 17:42:23.400000, Lat: 26.9150048, Lon: 75.7416909, trackid : 136
Class: 5, Detection Time: 2024-11-16 17:42:23.833333, Lat: 26.9150048, Lon: 75.7416909, trackid : 140
Class: 2, Detection Time: 2024-11-16 17:42:24.566667, Lat: 26.9150048, Lon: 75.7416909, trackid : 141
Class: 2, Detection Time: 2024-11-16 17:42:24.933333, Lat: 26.9150048, Lon: 75.7416909, trackid : 157
Class: 2, Detection Time: 2024-11-16 17:42:25.833333, Lat: 26.9150048, Lon: 75.7416909, trackid : 166
Class: 2, Detection Time: 2024-11-16 17:42:26.033333, Lat: 26.9150048, Lon: 75.7416909, trackid : 168
Class: 2, Detection Time: 2024-11-16 17:42:26.166667, Lat: 26.9150048, Lon: 75.7416909, trackid : 169
Class: 2, Detection Time: 2024-11-16 17:42:27, Lat: 26.9150048, Lon: 75.7416909, trackid : 190
Class: 2, Detection Time: 2024-11-16 17:42:28, Lat: 26.9150048, Lon: 75.7416909, trackid : 200
Class: 2, Detection Time: 2024-11-16 17:42:28.600000, Lat: 26.9150048, Lon: 75.7416909, trackid : 204
Class: 2, Detection Time: 2024-11-16 17:42:28.733333, Lat: 26.9150048, Lon: 75.7416909, trackid : 205
Class: 2, Detection Time: 2024-11-16 17:42:29.266667, Lat: 26.9150048, Lon: 75.7416909, trackid : 209
Class: 2, Detection Time: 2024-11-16 17:42:29.566667, Lat: 26.9150048, Lon: 75.7416909, trackid : 211
Class: 4, Detection Time: 2024-11-16 17:42:30.300000, Lat: 26.9150048, Lon: 75.7416909, trackid : 216
Class: 2, Detection Time: 2024-11-16 17:42:31.066667, Lat: 26.9150048, Lon: 75.7416909, trackid : 230
Class: 2, Detection Time: 2024-11-16 17:42:35.066667, Lat: 26.9150048, Lon: 75.7416909, trackid : 241
Class: 2, Detection Time: 2024-11-16 17:42:35.566667, Lat: 26.9150048, Lon: 75.7416909, trackid : 244
Class: 2, Detection Time: 2024-11-16 17:42:36.233333, Lat: 26.9150048, Lon: 75.7416909, trackid : 258
Class: 2, Detection Time: 2024-11-16 17:42:36.866667, Lat: 26.9150048, Lon: 75.7416909, trackid : 260
Class: 2, Detection Time: 2024-11-16 17:42:37.066667, Lat: 26.9150048, Lon: 75.7416909, trackid : 262
Class: 2, Detection Time: 2024-11-16 17:42:38.466667, Lat: 26.9150048, Lon: 75.7416909, trackid : 276
Class: 2, Detection Time: 2024-11-16 17:42:38.633333, Lat: 26.9150048, Lon: 75.7416909, trackid : 277
Class: 2, Detection Time: 2024-11-19 15:06:40.633333, Lat: 26.9150048, Lon: 75.7416909, trackid : 9
Class: 2, Detection Time: 2024-11-19 15:06:41.400000, Lat: 26.9150048, Lon: 75.7416909, trackid : 16
Class: 2, Detection Time: 2024-11-19 15:06:44.900000, Lat: 26.9150048, Lon: 75.7416909, trackid : 23
Class: 2, Detection Time: 2024-11-19 15:06:45.333333, Lat: 26.9150048, Lon: 75.7416909, trackid : 26
Class: 2, Detection Time: 2024-11-19 15:06:45.366667, Lat: 26.9150048, Lon: 75.7416909, trackid : 25
Class: 2, Detection Time: 2024-11-19 15:06:45.433333, Lat: 26.9150048, Lon: 75.7416909, trackid : 28
Class: 2, Detection Time: 2024-11-19 15:06:45.666667, Lat: 26.9150048, Lon: 75.7416909, trackid : 31
Class: 0, Detection Time: 2024-11-19 15:06:49.900000, Lat: 26.9150825, Lon: 75.7416004, trackid : 43
Class: 0, Detection Time: 2024-11-19 15:06:50.533333, Lat: 26.9150825, Lon: 75.7416004, trackid : 51
Class: 0, Detection Time: 2024-11-19 15:06:51.133333, Lat: 26.9150825, Lon: 75.7416004, trackid : 59
Class: 0, Detection Time: 2024-11-19 15:06:51.533333, Lat: 26.9150825, Lon: 75.7416004, trackid : 65
Class: 2, Detection Time: 2024-11-19 15:06:57, Lat: 26.9150328, Lon: 75.7418061, trackid : 73
Class: 0, Detection Time: 2024-11-19 15:07:00.700000, Lat: 26.9149523, Lon: 75.7418846, trackid : 83
Class: 0, Detection Time: 2024-11-19 15:07:01.066667, Lat: 26.9149523, Lon: 75.7418846, trackid : 84
Class: 5, Detection Time: 2024-11-19 15:07:01.400000, Lat: 26.9149523, Lon: 75.7418846, trackid : 86
Class: 0, Detection Time: 2024-11-19 15:07:01.933333, Lat: 26.9149523, Lon: 75.7418846, trackid : 92
Class: 2, Detection Time: 2024-11-19 15:07:21.700000, Lat: 26.9149767, Lon: 75.7423702, trackid : 135
Class: 2, Detection Time: 2024-11-19 15:07:21.933333, Lat: 26.9149767, Lon: 75.7423702, trackid : 139
Class: 5, Detection Time: 2024-11-19 15:07:26.333333, Lat: 26.9149767, Lon: 75.7423702, trackid : 145
Class: 0, Detection Time: 2024-11-19 15:07:27.666667, Lat: 26.9149495, Lon: 75.7424514, trackid : 150
Class: 2, Detection Time: 2024-11-19 15:07:36.833333, Lat: 26.9149832, Lon: 75.7424307, trackid : 155
Class: 5, Detection Time: 2024-11-19 15:08:12.366667, Lat: 26.9150119, Lon: 75.7430538, trackid : 202
Class: 2, Detection Time: 2024-11-19 15:08:20.900000, Lat: 26.9150086, Lon: 75.7431502, trackid : 207
Class: 5, Detection Time: 2024-11-19 15:08:42.133333, Lat: 26.9152315, Lon: 75.7436154, trackid : 228
Class: 2, Detection Time: 2024-11-19 15:08:42.966667, Lat: 26.9152315, Lon: 75.7436154, trackid : 229
Class: 2, Detection Time: 2024-11-19 15:08:43.400000, Lat: 26.9152315, Lon: 75.7436154, trackid : 231
Class: 5, Detection Time: 2024-11-19 15:08:44.066667, Lat: 26.9152315, Lon: 75.7436154, trackid : 235
Class: 2, Detection Time: 2024-11-19 15:08:47.833333, Lat: 26.9152315, Lon: 75.7436154, trackid : 251
Class: 5, Detection Time: 2024-11-19 15:08:59.233333, Lat: 26.9152257, Lon: 75.7448582, trackid : 277
Class: 5, Detection Time: 2024-11-19 15:09:02.166667, Lat: 26.9152257, Lon: 75.7448582, trackid : 278
Class: 2, Detection Time: 2024-11-19 15:09:02.700000, Lat: 26.9152257, Lon: 75.7448582, trackid : 282
Class: 2, Detection Time: 2024-11-19 15:09:19.300000, Lat: 26.9152257, Lon: 75.7448582, trackid : 310
Class: 2, Detection Time: 2024-11-19 15:09:19.500000, Lat: 26.9152257, Lon: 75.7448582, trackid : 313
Class: 2, Detection Time: 2024-11-19 15:09:21.866667, Lat: 26.9152257, Lon: 75.7448582, trackid : 317
Class: 2, Detection Time: 2024-11-19 15:09:44.033333, Lat: 26.9153198, Lon: 75.7450646, trackid : 357
Class: 2, Detection Time: 2024-11-19 15:09:44.366667, Lat: 26.9153198, Lon: 75.7450646, trackid : 359
Class: 5, Detection Time: 2024-11-19 15:09:46.366667, Lat: 26.915189, Lon: 75.7453396, trackid : 368
Class: 5, Detection Time: 2024-11-19 15:09:49.633333, Lat: 26.915189, Lon: 75.7453396, trackid : 374
Class: 2, Detection Time: 2024-11-19 15:09:49.866667, Lat: 26.915189, Lon: 75.7453396, trackid : 377
Class: 0, Detection Time: 2024-11-19 15:09:53.600000, Lat: 26.9151021, Lon: 75.7454722, trackid : 386
